instrument_name,spot_shock,iv_shock,days_forward,scenario_price,scenario_value,scenario_pnl
ETH-29MAY26-2350-C,0.1,0.2,3,239.5367202890227,235.47933842146932,164.83699977584618
ETH-29MAY26-2350-C,0.1,0.2,7,222.03539276769675,218.27445634223452,147.63211769661137
ETH-29MAY26-2350-C,0.2,-0.1,0,419.3459710561333,412.24289835336873,341.60055970774556
ETH-29MAY26-2350-C,0.2,-0.1,1,418.82019202646006,411.7260252079322,341.083686562309
ETH-29MAY26-2350-C,0.2,-0.1,3,417.85722534416664,410.77936969309184,340.13703104746867
ETH-29MAY26-2350-C,0.2,-0.1,7,416.2971974709458,409.24576628121474,338.60342763559163
ETH-29MAY26-2350-C,0.2,0.0,0,423.32225564014243,416.1518308213769,345.50949217575373
ETH-29MAY26-2350-C,0.2,0.0,1,422.2797576910466,415.1269911764881,344.484652530865
ETH-29MAY26-2350-C,0.2,0.0,3,420.33520819048454,413.2153793394067,342.5730406937836
ETH-29MAY26-2350-C,0.2,0.0,7,417.1672017458841,410.10103402821875,339.4586953825956
ETH-29MAY26-2350-C,0.2,0.1,0,430.368443457834,423.07866710644174,352.4363284608186
ETH-29MAY26-2350-C,0.2,0.1,1,428.63476042243065,421.3743499824671,350.7320113368439
ETH-29MAY26-2350-C,0.2,0.1,3,425.30483064478494,418.1008240692633,347.4584854236401
ETH-29MAY26-2350-C,0.2,0.1,7,419.48888490558966,412.38339146307084,341.74105281744767
ETH-29MAY26-2350-C,0.2,0.2,0,440.1075426529592,432.6528010117653,362.0104623661422
ETH-29MAY26-2350-C,0.2,0.2,1,437.60285299755515,430.1905369284382,359.54819828281506
ETH-29MAY26-2350-C,0.2,0.2,3,432.68401357587845,425.3550150451115,354.7126763994884
ETH-29MAY26-2350-C,0.2,0.2,7,423.5641823406004,416.38965965739663,345.74732101177347
ETH-29MAY26-2300-C,-0.2,-0.1,0,0.13838711275349347,0.09272134485220089,-63.33157559322526
ETH-29MAY26-2300-C,-0.2,-0.1,1,0.09837045686246348,0.06590961305956414,-63.358387325017894
ETH-29MAY26-2300-C,-0.2,-0.1,3,0.04328042979399216,0.028998506988353302,-63.39529843108911
ETH-29MAY26-2300-C,-0.2,-0.1,7,0.0032185967140546945,0.002156505832993414,-63.42214043224447
ETH-29MAY26-2300-C,-0.2,0.0,0,1.0382389079528949,0.6956349179330836,-62.72866202014438
ETH-29MAY26-2300-C,-0.2,0.0,1,0.8165328350084238,0.5470886780680383,-62.877208260009425
